vehicle_id,category,brand,model_year,base_daily_rate,start_date,end_date,rental_length_days,day_of_week,month,city,avg_temp,rain,wind,avg_competitor_price,demand_index,final_daily_price
VEH-0,Economy,Ford,2021,98,2023-04-13,2023-04-23,10,3,4,Makkah,34.95,6.04,14.51,87.5,0.26,116.69
VEH-1,Luxury,Kia,2017,434,2023-11-25,2023-12-02,7,5,11,Madinah,35.2,6.11,24.72,449.58,0.135,472.82
VEH-2,Economy,Nissan,2018,71,2023-11-06,2023-11-19,13,0,11,Tabuk,38.17,2.69,17.31,64.98,0.107,91.57
VEH-3,Luxury,Mercedes,2015,428,2023-03-04,2023-03-15,11,5,3,Dammam,33.94,4.55,12.56,437.52,0.389,501.98
VEH-4,Luxury,Kia,2015,515,2023-04-09,2023-04-21,12,6,4,Khobar,38.84,3.19,11.77,513.48,0.331,531.95
VEH-5,Luxury,Nissan,2017,395,2023-08-10,2023-08-15,5,3,8,Riyadh,38.75,0.14,9.03,379.21,0.474,422.99
VEH-6,Luxury,BMW,2023,407,2023-12-06,2023-12-17,11,2,12,Dammam,27.58,0.56,22.34,401.88,0.561,434.29
VEH-7,Sedan,Toyota,2019,141,2023-11-11,2023-11-17,6,5,11,Madinah,24.25,3.21,9.25,127.75,0.182,137.64
VEH-8,Sedan,Ford,2022,148,2023-02-23,2023-03-02,7,3,2,Tabuk,36.34,0.96,14.55,139.57,0.316,208.02
VEH-9,Economy,Nissan,2022,74,2023-04-07,2023-04-16,9,4,4,Tabuk,26.63,1.96,14.6,75.99,0.19,110.94
VEH-10,Luxury,BMW,2018,427,2023-12-04,2023-12-12,8,0,12,Madinah,30.28,1.54,15.86,438.12,0.366,467.87
VEH-11,Economy,Toyota,2023,110,2023-06-01,2023-06-07,6,3,6,Khobar,38.47,4.47,25.3,114.53,0.362,129.76
VEH-12,Luxury,Hyundai,2016,468,2023-06-10,2023-06-14,4,5,6,Dammam,27.74,2.52,22.62,493.37,0.245,495.12
VEH-13,Economy,Ford,2020,107,2023-01-27,2023-01-29,2,4,1,Tabuk,27.29,7.2,9.94,124.0,0.141,136.27
VEH-14,Economy,Hyundai,2019,75,2023-10-29,2023-11-03,5,6,10,Makkah,35.35,2.2,16.7,65.49,0.242,92.63
VEH-15,Van,BMW,2016,227,2023-02-08,2023-02-21,13,2,2,Tabuk,42.73,0.67,7.85,240.14,0.104,266.44
VEH-16,Van,Toyota,2016,204,2023-07-05,2023-07-18,13,2,7,Khobar,34.05,2.56,20.13,166.39,0.471,235.43
VEH-17,Luxury,BMW,2017,423,2023-05-27,2023-05-28,1,5,5,Khobar,36.07,3.23,6.06,405.85,0.407,445.12
VEH-18,Economy,Toyota,2015,116,2023-03-30,2023-04-07,8,3,3,Madinah,34.29,4.31,30.81,120.54,0.565,155.33
VEH-19,Van,Ford,2019,241,2023-07-23,2023-08-02,10,6,7,Riyadh,27.29,4.8,21.6,231.38,0.039,268.25
VEH-20,Van,Mercedes,2015,203,2023-12-02,2023-12-09,7,5,12,Dammam,41.21,4.13,22.49,239.18,0.325,252.23
VEH-21,Luxury,Toyota,2016,389,2023-04-03,2023-04-13,10,0,4,Madinah,37.14,2.5,25.69,388.43,0.046,412.66
VEH-22,Economy,Nissan,2023,105,2023-06-26,2023-06-29,3,0,6,Dammam,20.49,2.88,13.98,128.24,0.548,199.41
VEH-23,Economy,Nissan,2020,82,2023-08-21,2023-08-24,3,0,8,Jeddah,33.15,0.92,14.32,120.25,0.551,159.23
VEH-24,Van,Toyota,2021,237,2023-08-11,2023-08-21,10,4,8,Khobar,39.83,1.41,13.05,230.57,0.389,290.76
VEH-25,Sedan,Ford,2016,101,2023-12-05,2023-12-13,8,1,12,Riyadh,34.43,3.79,9.56,86.63,0.483,137.82
VEH-26,Sedan,BMW,2017,112,2023-05-28,2023-06-09,12,6,5,Jeddah,37.53,4.14,23.04,134.67,0.323,187.95
VEH-27,Luxury,Nissan,2019,551,2023-08-15,2023-08-18,3,1,8,Dammam,31.0,2.1,20.99,580.02,0.294,622.22
VEH-28,Economy,Kia,2022,107,2023-05-02,2023-05-14,12,1,5,Tabuk,24.54,8.36,13.46,89.5,0.129,143.25
VEH-29,SUV,Mercedes,2017,218,2023-10-13,2023-10-15,2,4,10,Tabuk,22.55,2.93,19.14,245.99,0.25,282.4
VEH-30,Sedan,Ford,2015,140,2023-07-16,2023-07-21,5,6,7,Dammam,33.04,2.19,15.3,152.46,0.127,176.51
VEH-31,Sedan,Kia,2022,125,2023-11-02,2023-11-14,12,3,11,Riyadh,43.79,0.25,33.24,152.94,0.191,191.2
VEH-32,Sedan,BMW,2017,137,2023-03-22,2023-03-27,5,2,3,Khobar,31.64,7.68,20.76,148.72,0.046,134.07
VEH-33,Van,Mercedes,2020,204,2023-07-14,2023-07-17,3,4,7,Madinah,47.22,3.87,18.09,176.69,0.499,235.34
VEH-34,Economy,Ford,2019,110,2023-03-19,2023-03-29,10,6,3,Dammam,32.29,2.17,21.09,134.09,0.467,152.46
VEH-35,Economy,Mercedes,2021,83,2023-07-06,2023-07-14,8,3,7,Dammam,16.89,3.6,13.29,92.44,0.403,146.26
VEH-36,SUV,BMW,2021,223,2023-09-30,2023-10-07,7,5,9,Makkah,33.53,1.5,13.78,199.13,0.035,228.92
VEH-37,SUV,BMW,2022,232,2023-04-11,2023-04-17,6,1,4,Tabuk,44.53,2.9,23.04,231.78,0.085,248.28
VEH-38,SUV,Ford,2022,180,2023-08-11,2023-08-17,6,4,8,Riyadh,35.73,1.66,19.42,185.47,0.199,196.91
VEH-39,Sedan,Nissan,2019,125,2023-08-13,2023-08-17,4,6,8,Madinah,36.8,0.17,16.16,94.51,0.392,125.71
VEH-40,SUV,Kia,2016,172,2023-01-13,2023-01-21,8,4,1,Makkah,28.79,5.04,24.64,187.43,0.069,215.01
VEH-41,Economy,Nissan,2023,103,2023-10-23,2023-10-29,6,0,10,Jeddah,28.77,4.13,22.18,113.32,0.275,137.07
VEH-42,Sedan,Nissan,2023,139,2023-10-15,2023-10-18,3,6,10,Tabuk,37.96,10.83,29.99,107.41,0.215,118.94
VEH-43,Economy,BMW,2017,76,2023-10-16,2023-10-20,4,0,10,Dammam,43.03,3.92,27.5,95.4,0.308,131.34
VEH-44,Luxury,Hyundai,2020,527,2023-07-03,2023-07-16,13,0,7,Riyadh,25.87,13.9,26.49,517.53,0.28,558.96
VEH-45,Economy,Nissan,2021,116,2023-04-14,2023-04-16,2,4,4,Khobar,28.24,1.19,18.28,151.64,0.447,159.57
VEH-46,Luxury,Nissan,2020,596,2023-09-24,2023-10-01,7,6,9,Jeddah,30.7,0.12,15.59,587.42,0.138,635.39
VEH-47,Luxury,Mercedes,2018,362,2023-03-31,2023-04-11,11,4,3,Riyadh,28.17,1.74,22.84,378.81,0.219,374.09
VEH-48,Sedan,BMW,2015,128,2023-06-05,2023-06-07,2,0,6,Khobar,25.88,4.07,13.21,124.71,0.249,140.01
VEH-49,SUV,BMW,2015,179,2023-01-19,2023-01-21,2,3,1,Madinah,31.99,6.16,12.0,227.6,0.386,258.29
VEH-50,Sedan,Ford,2021,102,2023-06-11,2023-06-23,12,6,6,Tabuk,41.56,6.7,13.38,89.52,0.606,193.51
VEH-51,Van,Hyundai,2017,225,2023-06-14,2023-06-20,6,2,6,Dammam,36.09,0.63,12.38,191.6,0.586,238.71
VEH-52,Luxury,Ford,2021,592,2023-09-13,2023-09-22,9,2,9,Madinah,20.73,0.18,23.83,591.38,0.134,596.99
VEH-53,SUV,Mercedes,2020,153,2023-01-29,2023-02-11,13,6,1,Tabuk,38.2,6.41,24.91,155.41,0.555,228.55
VEH-54,Economy,Nissan,2021,111,2023-10-14,2023-10-20,6,5,10,Makkah,26.65,5.38,17.41,156.96,0.415,184.03
VEH-55,SUV,Toyota,2015,178,2023-10-23,2023-11-03,11,0,10,Madinah,32.17,7.37,12.7,189.48,0.045,209.74
VEH-56,Van,Nissan,2018,260,2023-12-31,2024-01-11,11,6,12,Dammam,41.04,0.81,17.79,295.42,0.091,315.67
VEH-57,Luxury,Ford,2016,316,2023-02-26,2023-03-05,7,6,2,Dammam,39.51,1.47,18.27,341.69,0.364,367.4
VEH-58,Luxury,Hyundai,2023,587,2023-01-16,2023-01-23,7,0,1,Jeddah,19.33,0.88,20.15,575.25,0.248,617.93
VEH-59,Economy,Ford,2021,86,2023-04-18,2023-04-30,12,1,4,Khobar,28.35,6.08,17.7,35.41,0.327,119.18
VEH-60,Sedan,Hyundai,2016,115,2023-11-07,2023-11-10,3,1,11,Tabuk,33.58,6.26,14.9,143.19,0.632,153.81
VEH-61,Luxury,Kia,2019,302,2023-05-22,2023-05-30,8,0,5,Makkah,20.69,2.02,11.69,263.33,0.071,286.97
VEH-62,Economy,Hyundai,2016,94,2023-03-13,2023-03-17,4,0,3,Khobar,29.67,4.39,17.23,83.98,0.286,119.89
VEH-63,Luxury,Hyundai,2017,444,2023-01-03,2023-01-06,3,1,1,Riyadh,50.18,0.82,13.78,491.15,0.48,532.13
VEH-64,Sedan,Hyundai,2023,139,2023-08-14,2023-08-22,8,0,8,Khobar,31.35,2.41,21.31,139.78,0.192,186.33
VEH-65,Economy,Mercedes,2015,75,2023-12-19,2023-12-30,11,1,12,Khobar,33.93,3.62,22.29,85.05,0.267,145.4
VEH-66,Luxury,Ford,2023,459,2023-06-07,2023-06-14,7,2,6,Jeddah,35.58,0.43,18.17,484.57,0.288,540.45
